Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Cases,Current Status,Defect Count,Severity,Notes,Last Tested Date
F-PLAY-06,Now Playing (Ambient redesign),As a listener I want a full-screen player,Full player with artwork/notes/controls/tabs; responsive >1000px split,Auto-close on episode end; playback error caught,mini_player_now_playing_smoke_test.dart; ambient_colors_test.dart,PASS,0,-,Redesigned this branch,2026-06-21
F-CHAP-01,Chapters,As a listener I want chapter navigation,Lists toc chapters; auto-scroll to current; tap to jump,Empty chapters; toc=false hidden; loading state; numbering,chapter_test.dart; chapter_selector_test.dart,PASS,0,-,Entity + selector UI (toc filter/loading/numbering) covered this iteration,2026-06-21
F-TRANS-01,Transcript view,As a listener I want to read/follow a transcript,Shows transcript w/ speakers; auto-scroll to current subtitle; manual scroll disables auto,Ad segments filtered; empty transcript; search; leave-tab-mid-scroll,transcript_view_test.dart,PASS,0,Medium,DEFECT D-003 fixed (setState-after-dispose + leaks),2026-06-21
F-AISKIP-01,AI ad detection,As a listener I want ads detected automatically,Local/cloud analysis produces ad segments; background task on Android,Analysis completes after play start; disabled = no segments,background_analysis_service_test.dart; ad_segment_normalizer_test.dart; openai_episode_analysis_service_test.dart,PASS,0,-,Extensive analysis-pipeline coverage,2026-06-21
F-AISKIP-02,Ad-skip prompt card,As a listener I want a prompt before an ad is skipped,Ambient card rises with countdown ring; auto-skip at 0; Skip/Keep buttons,Countdown 0 = wait for manual; re-prompt cancels old timer; cleared state dismisses,ad_skip_listener_test.dart; ai_ad_skip_flow_test.dart,PASS,0,-,,2026-06-21
F-AISKIP-03,Auto-skip + stat tally,As a listener I want skipped time tracked,On skip the saved-seconds/count totals accumulate,Zero-length segment is no-op; sub-second rounds,default_audio_player_service_adskip_stat_test.dart,PASS,0,-,recordAdSkipStat helper,2026-06-21
F-AISKIP-04,AI ad-skip settings + live hero stat,As a listener I want to configure ad-skip and see lifetime savings,Toggle auto-skip/countdown/host-read/notify; hero stat shows live saved time/count,Stat must update within session not only after restart,settings_bloc_adskip_test.dart; ai_ad_skip_settings_test.dart,PASS,0,Medium,DEFECT D-001 fixed this iteration (stale hero stat),2026-06-21
F-QUEUE-01,Up Next queue,As a listener I want a play queue,Shows playing + reorderable up-next; empty state,Now-playing pinned/non-reorderable; empty message,queue_bloc_test.dart,PASS,0,-,,2026-06-21
F-QUEUE-02,Play next / Add to up next,As a listener I want to insert episodes at front or end,position=0 inserts at front of up-next; null appends,Episode==current skipped; already-queued dedup,queue_bloc_test.dart,PASS,0,-,Insert-position logic verified correct,2026-06-21
F-QUEUE-03,Reorder queue,As a listener I want to reorder up-next,Drag reorders; persists; moveUpNextEpisode returns success,Old/new index bounds,queue_bloc_test.dart,PASS,0,Low,DEFECT D-002 fixed (move always returned false),2026-06-21
F-EPIS-01,Episode filter/sort,As a listener I want to filter/sort episodes,Filter None/Played/Unplayed/Started; sort variants; persists per podcast,Default RSS order,episode_bloc_test.dart,PARTIAL,0,-,,2026-06-21
F-EPIS-02,Mark played/unplayed,As a listener I want to mark an episode played,Toggles played; updates tile; persists,Instant; removes highlight,episode_bloc_test.dart,PASS,0,-,,2026-06-21
F-EPIS-03,Episode actions sheet,As a listener I want quick actions per episode,Sheet offers play/queue/download/share/mark + ads-ahead badge,Ads-ahead count badge,episode_actions_sheet_test.dart; episode_details_ads_ahead_test.dart,PASS,0,-,,2026-06-21
F-SLEEP-01,Sleep timer,As a listener I want playback to stop after a time,Stops after duration or end-of-episode,None default; zero duration; equality by type+duration; timeRemaining,sleep_test.dart,PARTIAL,0,-,Sleep entity logic covered; ticker/stop path manual,2026-06-21
F-SET-01,Theme select,As a listener I want light/dark/system theme,Persists; applies live,System follows OS,settings_test.dart,PASS,0,-,,2026-06-21
F-SET-02,Library layout/sort,As a listener I want layout + sort options,List/grid modes; sort orders; toggles badges; persists,Reloads library on change,settings_test.dart,PASS,0,-,,2026-06-21
F-SET-03,Auto-update period,As a listener I want feeds refreshed automatically,Never..Always; drives background task,Background scheduler reconciliation,settings_bloc_test.dart,PASS,0,-,,2026-06-21
F-SET-04,Background analysis / Gemma model,As a listener I want on-device ad analysis,Enable/disable; download Gemma w/ HF token; progress/cancel,Token read errors; stream errors; re-download confirm,settings_background_analysis_test.dart,PASS,0,-,,2026-06-21
F-SET-05,Transcription provider,As a listener I want to pick a transcription backend,Local/OpenAI/Backend selectable,Android-only local,whisper/openai transcription tests,PASS,0,-,,2026-06-21
F-OPML-01,OPML import,As a listener I want to import subscriptions,Import file; per-podcast progress; subscribes,Per-podcast error handling,opml_service_test.dart,PASS,0,-,,2026-06-21
F-OPML-02,OPML export,As a listener I want to export subscriptions,Exports OPML file via picker,Progress dialog,opml_service_test.dart,PASS,0,-,,2026-06-21
F-FEED-01,Add RSS feed manually,As a listener I want to add a feed by URL,Dialog builds Podcast.fromUrl(url) then loads details; http->https normalised,Invalid/unreachable feed errors; empty placeholder fields,podcast_from_url_test.dart,PARTIAL,0,-,URL->Podcast transform covered; dialog/navigation UI manual,2026-06-21
F-FUND-01,Funding links,As a listener I want to support a creator,Menu shows funding links; external-link consent,No funding disables menu; http->https upgrade; serialization,funding_test.dart,PARTIAL,0,-,Funding entity (URL upgrade/round-trip) covered; menu widget manual,2026-06-21
F-NOTIF-01,Download/new-episode notifications,As a listener I want notified of downloads/new episodes,System notifications + in-app snackbar,Auto-hide; View Now action,N/A (waived),WAIVED,0,-,MobileNotificationService is a thin AwesomeNotifications() platform wrapper with no unit-testable logic; appropriate coverage is device/integration_test,2026-06-21
F-DEEP-01,Deep-link subscribe,As a listener I want to subscribe from a link,Handles anytime-subscribe:// and https ?uri=; opens details,Already on details reloads feed,navigation_route_observer_test.dart,PARTIAL,0,-,Link parsing manual,2026-06-21
F-A11Y-01,Accessibility,As a screen-reader user I want labelled controls,Platform tiles; semantic labels w/ units; VoiceOver scroll fix,accessibleNavigation branches,accessibility_tools (dev),PARTIAL,0,-,Manual a11y audit recommended,2026-06-21
F-PERSIST-01,Local persistence,As a listener I want my data saved,Sembast stores episodes/podcasts/queue/analysis,Migration; missing records,sembast_test.dart; sembast_analysis_test.dart,PASS,0,-,,2026-06-21
F-SETSVC-01,Settings persistence,As a listener I want settings to persist,SharedPreferences stores all settings incl ad-skip,Defaults on first read,mobile_settings_service_adskip_test.dart; settings_test.dart,PASS,0,-,,2026-06-21
